first_name,second_name,goals_scored,assists,minutes,influence,threat,now_cost
Andre,Brooks,0,0,932,88.6,76.0,44
Antwoine,Hackford,0,0,11,0.0,0.0,44
Gustavo,Hamer,4,7,2908,581.2,294.0,49
Tom,Davies,0,0,214,26.4,48.0,50
Luke,Thomas,0,0,916,127.8,64.0,40
Ryan,Oné,0,0,7,0.0,0.0,44
Jili,Buyabu,0,0,0,0.0,0.0,40
Sydie,Peck,0,0,9,0.0,0.0,44
Ben,Brereton,6,1,1105,312.2,422.0,50
Ivo,Grbic,0,0,771,257.6,0.0,45
Billy,Blacker,0,0,0,0.0,0.0,45
Oliver,Arblaster,0,0,942,155.4,23.0,45
Dovydas,Sasnauskas,0,0,0,0.0,0.0,40
Sam,Curtis,0,0,27,2.2,0.0,40
Owen,Hampson,0,0,0,0.0,0.0,45
Brennan,Johnson,5,12,2317,554.4,782.0,58
Brandon,Austin,0,0,0,0.0,0.0,39
Rodrigo,Bentancur,1,1,997,193.0,156.0,54
Yves,Bissouma,0,0,2070,403.0,140.0,50
Bryan,Gil Salvatierra,0,0,200,28.6,59.0,49
Ben,Davies,1,2,1085,294.8,124.0,43
Eric,Dier,0,0,199,55.8,4.0,42
Emerson,Leite de Souza Junior,1,0,1152,316.0,55.0,43
Fraser,Forster,0,0,0,0.0,0.0,38
Pierre-Emile,Højbjerg,0,0,1289,282.2,108.0,51
Harry,Kane,0,0,0,0.0,0.0,125
Dejan,Kulusevski,8,3,2759,698.8,953.0,67
Hugo,Lloris,0,0,0,0.0,0.0,47
Giovani,Lo Celso,2,2,491,225.8,110.0,48
James,Maddison,4,11,2137,630.4,605.0,78
Tanguy,Ndombélé Alvaro,0,0,0,0.0,0.0,44
Pedro,Porro,3,8,3090,839.0,365.0,59
Ivan,Perišić,0,1,98,41.6,27.0,47
Richarlison,de Andrade,11,4,1481,560.6,758.0,68
Joe,Rodon,0,0,0,0.0,0.0,40
Cristian,Romero,5,0,2790,841.8,252.0,51
Davinson,Sánchez,0,0,76,17.0,4.0,44
Pape Matar,Sarr,3,3,2063,406.0,317.0,44
Ryan,Sessegnon,0,0,0,0.0,0.0,44
Oliver,Skipp,0,0,691,92.0,65.0,45
Son,Heung-min,17,10,2934,993.2,1131.0,100
Djed,Spence,0,0,0,0.0,0.0,40
Japhet,Tanganga,0,0,0,0.0,0.0,40
Destiny,Udogie,2,3,2391,534.8,279.0,49
Guglielmo,Vicario,0,0,3420,974.2,0.0,53
Alfie,Whiteman,0,0,0,0.0,0.0,39
Manor,Solomon,0,2,196,73.4,61.0,51
Micky,van de Ven,3,0,2341,561.6,85.0,44
Dane,Scarlett,0,0,19,2.0,6.0,45
Alejo,Véliz,1,0,45,35.2,29.0,54
Ashley,Phillips,0,0,0,0.0,0.0,40
Jamie,Donley,0,0,3,3.0,0.0,45
Alfie,Dorrington,0,0,0,0.0,0.0,40
Yago,de Santiago Alonso,0,0,0,0.0,0.0,45
Timo,Werner,2,4,808,179.0,305.0,63
Radu,Dragusin,0,0,424,95.4,6.0,42
Mikey,Moore,0,0,3,1.0,0.0,45
Tyrese,Hall,0,0,0,0.0,0.0,45
Kalvin,Phillips,0,0,394,35.6,31.0,47
Nayef,Aguerd,1,0,1857,439.4,145.0,44
Michail,Antonio,6,2,1692,308.6,395.0,57
Alphonse,Areola,0,0,2700,1023.2,0.0,42
Saïd,Benrahma,0,1,611,85.4,196.0,56
Jarrod,Bowen,16,6,3020,890.4,1130.0,76
Maxwel,Cornet,1,0,109,44.0,54.0,52
Vladimír,Coufal,0,7,3135,661.6,92.0,45
Conor,Coventry,0,0,0,0.0,0.0,43
Aaron,Cresswell,0,0,431,58.8,2.0,42
Flynn,Downes,0,0,0,0.0,0.0,50
Emerson,Palmieri dos Santos,1,4,3138,649.0,168.0,43
Lukasz,Fabianski,0,0,721,245.6,0.0,42
Pablo,Fornals Malla,0,0,418,64.2,79.0,46
Danny,Ings,1,2,389,82.4,125.0,55
Ben,Johnson,0,0,538,84.6,38.0,44
Thilo,Kehrer,0,0,19,8.6,0.0,42
Divin,Mubama,0,0,75,0.2,5.0,41
Lucas,Tolentino Coelho de Lima,4,6,2627,570.6,343.0,60
Gianluca,Scamacca,0,0,0,0.0,0.0,60
Tomáš,Souček,7,2,2867,751.6,488.0,49
Nikola,Vlašić,0,0,0,0.0,0.0,45
Kurt,Zouma,3,0,2838,636.8,227.0,45
Angelo,Ogbonna,0,0,634,131.0,10.0,42
Edson,Álvarez Velázquez,1,1,2375,545.8,89.0,50
Joseph,Anang,0,0,0,0.0,0.0,40
James,Ward-Prowse,7,7,3000,831.0,324.0,57
Konstantinos,Mavropanos,1,0,1500,300.2,112.0,45
Mohammed,Kudus,8,9,2485,667.2,566.0,67
Lewis,Orford,0,0,0,0.0,0.0,45
Kaelan,Casey,0,0,1,2.0,0.0,40
Oliver,Scarles,0,0,0,0.0,0.0,40
Callum,Marshall,0,0,0,0.0,0.0,45
George,Earthy,1,0,33,32.8,33.0,45
Tommy,Doyle,0,0,1209,198.4,55.0,44
Rayan,Aït-Nouri,2,3,2327,448.4,253.0,46
Daniel,Bentley,0,0,382,70.8,0.0,39
Bendegúz,Bolla,0,0,0,0.0,0.0,40
Hugo,Bueno López,0,0,727,139.4,30.0,44
Francisco Jorge,Tomás Oliveira,0,0,0,0.0,0.0,45
Luke,Cundle,0,0,0,0.0,0.0,45
Craig,Dawson,1,1,2209,611.8,222.0,45
Fábio,Silva,0,0,259,25.2,93.0,52
Gonçalo Manuel,Ganchinho Guedes,0,0,0,0.0,0.0,54
Joe,Hodge,0,0,0,0.0,0.0,44
Ki-Jana,Hoever,0,0,0,0.0,0.0,40
Hwang,Hee-chan,12,3,2116,534.2,614.0,54
João Victor,Gomes da Silva,2,2,2646,493.2,196.0,49
Jonathan,Castro Otto,0,0,4,5.0,0.0,43
Bruno,Cavaco Jordão,0,0,0,0.0,0.0,43
Sasa,Kalajdzic,2,0,158,94.0,66.0,49
Max,Kilman,2,0,3420,853.6,212.0,44
Tom,King,0,0,0,0.0,0.0,39
Mario,Lemina,4,1,2969,621.6,470.0,49
Pedro,Lomba Neto,2,11,1516,371.4,389.0,55
Daniel,Castelo Podence,0,0,0,0.0,0.0,53
José,Malheiro de Sá,0,1,3037,1003.4,0.0,50
Pablo,Sarabia,4,7,1737,469.2,418.0,45
Matija,Šarkić,0,0,0,0.0,0.0,40
Nélson,Cabral Semedo,0,2,3084,508.8,165.0,45
Toti António,Gomes,1,4,2771,550.0,167.0,44
Boubacar,Traoré,0,0,802,114.4,27.0,43
Matheus,Santos Carneiro Da Cunha,12,7,2438,786.0,872.0,55
Matt,Doherty,1,0,1136,237.8,122.0,43
Santiago,Bueno,0,0,819,173.8,2.0,45
Enso,González,0,0,1,0.2,0.0,50
Nathan,Fraser,0,0,183,22.4,36.0,45
Jean-Ricner,Bellegarde,2,2,948,189.8,163.0,49
Matthew,Whittingham,0,0,0,0.0,0.0,45
Tawanda,Chirewa,0,0,138,22.0,21.0,44
Justin,Hubner,0,0,0,0.0,0.0,40
Owen,Hesketh,0,0,0,0.0,0.0,45
Ty,Barnett,0,0,0,0.0,0.0,45
Harvey,Griffiths,0,0,0,0.0,0.0,45
Yerson,Mosquera,0,0,0,0.0,0.0,40
Noha,Lemina,0,0,0,0.0,0.0,50
Wesley,Okoduwa,0,0,0,0.0,0.0,40
Leon,Chiwome,0,0,173,7.8,13.0,45
Fletcher,Holman,0,0,0,0.0,0.0,45
Temple,Ojinnaka,0,0,0,0.0,0.0,45
